index,Unnamed: 0,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userLocation,SumRetweetFavorite,is Noise,pos_count,PRetweetFavoriteWeight,neg_count,NRetweetFavoriteWeight,sentiment,clean text,tokens,KeyWords,saudiLocations,reqKeywords,sentiment_codes,translated_keywords
64,64,1508126514491105294,"@High_voltage999 @aborayan1423 اذاً نشرك السلطات الاخرى التي بها نثق وبرجالها بعد الله  بهاذا النقاش 
#هيئة_الرقابة_ومكافحة_الفساد",1,0,Twitter for iPhone,2022-03-27 16:59:15+00:00,1285580195433455616,Moh__alfaissaly,محمد الفيصلي. 🇸🇦,2020-07-21 14:20:06+00:00,"بكالوريوس هندسة ميكانيكية و شهادة الماجستير بالتجاره الدولية والامداد من فرنسا . Diplômé en France, BA en Méchanique et MA en Commerce International et log",#Riyadh_KSA,1,ok,1,1,2,2,Negative,اذاً نشرك السلطات الاخري التي بها نثق وبرجالها بعد الله بهاذا النقاش هيئه الرقابه ومكافحه الفساد,"['اذا', 'نشرك', 'السلطات', 'الاخري', 'التي', 'بها', 'نثق', 'وبرجالها', 'بعد', 'الله', 'بهاذا', 'النقاش', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد']","نشرك, السلطات, الاخري, التي, بها, نثق, وبرجالها, بهاذا, النقاش, هيئه, الرقابه, ومكافحه, الفساد",ksa,Corruption,-1,"Your deployment, powers, other, her, trust, and trap, so, discussion, body, control, fight, corruption"
63,63,1508128162563112974,@alekhbariyatv هذي مسؤولية وتقصير #وزارة_الشؤون_البلدية_والقروية_والإسكان الأن هي الوسيط وهي المشرفه وهي الضامنه ما… https://t.co/HbSY5Gap38,0,0,Twitter for Android,2022-03-27 17:05:48+00:00,746062664330285056,2005ahmeed1,Ahmed q m Aldossry,2016-06-23 19:29:35+00:00,مواطن سعودي يعشق تراب وطنه,المملكة العربية السعودية,0,ok,3,3,0,0,Positive,هذي مسووليه وتقصير وزاره الشوون البلديه والقرويه والاسكان الان هي الوسيط وهي المشرفه وهي الضامنه ما,"['هذي', 'مسووليه', 'وتقصير', 'وزاره', 'الشوون', 'البلديه', 'والقرويه', 'والاسكان', 'الان', 'هي', 'الوسيط', 'وهي', 'المشرفه', 'وهي', 'الضامنه', 'ما']","مسووليه, وتقصير, وزاره, الشوون, البلديه, والقرويه, والاسكان, الان, الوسيط, وهي, المشرفه, وهي, الضامنه",لمملكة العربية السعودية,Housing,1,"The responsibility, shorten, ministry, affairs, municipal, villages, housing, now, mediator, which, the supervisor, which is guarantor"
60,60,1508322698367324165,"#وزير_الصحة 
#هيئة_الرقابة_ومكافحة_الفساد 
معالي الوزير ابناء الوطن تخرجوا اطباء ومتكدسون بالبيوت لم يتم ادراجهم بب… https://t.co/pkQYtBmfIO",0,0,Twitter for iPhone,2022-03-28 05:58:49+00:00,1285580195433455616,Moh__alfaissaly,محمد الفيصلي. 🇸🇦,2020-07-21 14:20:06+00:00,"بكالوريوس هندسة ميكانيكية و شهادة الماجستير بالتجاره الدولية والامداد من فرنسا . Diplômé en France, BA en Méchanique et MA en Commerce International et log",#Riyadh_KSA,0,ok,0,0,0,0,Neutral,وزير الصحه هيئه الرقابه ومكافحه الفساد معالي الوزير ابناء الوطن تخرجوا اطباء ومتكدسون بالبيوت لم يتم ادراجهم بب,"['وزير', 'الصحه', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'معالي', 'الوزير', 'ابناء', 'الوطن', 'تخرجوا', 'اطباء', 'ومتكدسون', 'بالبيوت', 'لم', 'يتم', 'ادراجهم', 'بب']","وزير, الصحه, هيئه, الرقابه, ومكافحه, الفساد, معالي, الوزير, ابناء, الوطن, تخرجوا, اطباء, ومتكدسون, بالبيوت, لم, يتم, ادراجهم, بب",ksa,Health,0,"Minister, Health, Sensation, Control, Corruption, His Excellency, Minister, Sons, Home, Doctors, Doctors, Stand, Baloat, No, Insert them,"
58,58,1508362458494390273,الله يعزكم كفيتو ووفيتوا وكشفتوا الخايبين المستغلين المكرشين بالحرام 👍 #هيئة_الرقابة_ومكافحة_الفساد,1,5,Twitter for iPhone,2022-03-28 08:36:48+00:00,1165394733012836353,yaser_i,عبدالسلام العرجان,2019-08-24 22:45:50+00:00,"معلم بمتوسطة الامير عبدالمجيد"" اغرد بما تروق له نفسي """,االسعودية الجوف ,6,ok,1,6,1,6,Neutral,الله يعزكم كفيتو ووفيتوا وكشفتوا الخايبين المستغلين المكرشين بالحرام هيئه الرقابه ومكافحه الفساد,"['الله', 'يعزكم', 'كفيتو', 'ووفيتوا', 'وكشفتوا', 'الخايبين', 'المستغلين', 'المكرشين', 'بالحرام', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد']","يعزكم, كفيتو, ووفيتوا, وكشفتوا, الخايبين, المستغلين, المكرشين, بالحرام, هيئه, الرقابه, ومكافحه, الفساد",السعودية,Corruption,0,"I love you, Kvito, and my death, revealed, Alkhaibin, exploited, murders, inhar, body, control, and fighting, corruption"
56,56,1508452263823609860,"#الموارد_البشرية 
#هيئة_الرقابة_ومكافحة_الفساد 
#المجتمع_الوظيفي 
مهم جداً https://t.co/6qJRc0iYwL",3,17,Twitter for Android,2022-03-28 14:33:40+00:00,716531879919415297,deereti,عبدالله هبيلي ‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏,2016-04-03 07:44:47+00:00,"ماجستيرقانون مستشارقانوني 
مهتم بالخدمة المدنيةوالعسكريةوالتظلُّمات والموارد البشريةونظام العمل ،وريادة الأعمال 
سناب شات https://t.co/gUKDuKxN7S",المملكة العربية السعودية,20,ok,0,0,0,0,Neutral,الموارد البشريه هيئه الرقابه ومكافحه الفساد المجتمع الوظيفي مهم جداً,"['الموارد', 'البشريه', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'المجتمع', 'الوظيفي', 'مهم', 'جدا']","الموارد, البشريه, هيئه, الرقابه, ومكافحه, الفساد, المجتمع, الوظيفي, مهم, جدا",لمملكة العربية السعودية,Corruption,0,"Resources, human, body, control, fight, corruption, community, career, important, very"
55,55,1508454500260257793,"RT @deereti: #الموارد_البشرية 
#هيئة_الرقابة_ومكافحة_الفساد 
#المجتمع_الوظيفي 
مهم جداً https://t.co/6qJRc0iYwL",3,0,Twitter for iPhone,2022-03-28 14:42:33+00:00,2972673572,Alotibi_CTE,﮼عبدالله،عيد،العتيبي,2015-01-10 18:02:58+00:00,دبلوم عالي تطوير موارد بشريةمدرب محترف مدير موارد بشرية سابقاً أنظر إلى الغد نظرة تفاؤل وإلى اليوم نظرة إنجاز والى الأمس نظرة نجاح قائل حكمة (بسمو أخلاقنا نسمو),"جدة, المملكة العربية السعودية",3,ok,0,0,0,0,Neutral,الموارد البشريه هيئه الرقابه ومكافحه الفساد المجتمع الوظيفي مهم جداً,"['الموارد', 'البشريه', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'المجتمع', 'الوظيفي', 'مهم', 'جدا']","الموارد, البشريه, هيئه, الرقابه, ومكافحه, الفساد, المجتمع, الوظيفي, مهم, جدا",لمملكة العربية السعودية,Corruption,0,"Resources, human, body, control, fight, corruption, community, career, important, very"
54,54,1508463415722922000,RT @yaser_i: الله يعزكم كفيتو ووفيتوا وكشفتوا الخايبين المستغلين المكرشين بالحرام 👍 #هيئة_الرقابة_ومكافحة_الفساد,1,0,Twitter for Android,2022-03-28 15:17:58+00:00,631042243,aboyazed17,𝓜𝓸𝓱𝓪𝓶𝓶𝓮𝓭 𝓑𝓲𝓷 𝓡𝓪𝓳𝓪 𝓐𝓵𝓽𝓵𝔂𝓪𝓪𝓷,2012-07-09 12:09:22+00:00,"ɢᴇɴᴇʀᴀʟ ʀᴇᴛɪʀᴇᴅ
** ربنا آتنا من لدنك رحمة وهيئ لنا من أمرنا رشدا **
اللهم إجعل ما نكتبه شاهدا لنا ولا تجعله شاهدا علينا🤲.",الجوف. دومة الجندل,1,ok,1,1,1,1,Neutral,الله يعزكم كفيتو ووفيتوا وكشفتوا الخايبين المستغلين المكرشين بالحرام هيئه الرقابه ومكافحه الفساد,"['الله', 'يعزكم', 'كفيتو', 'ووفيتوا', 'وكشفتوا', 'الخايبين', 'المستغلين', 'المكرشين', 'بالحرام', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد']","يعزكم, كفيتو, ووفيتوا, وكشفتوا, الخايبين, المستغلين, المكرشين, بالحرام, هيئه, الرقابه, ومكافحه, الفساد",دومة الجندل,Corruption,0,"I love you, Kvito, and my death, revealed, Alkhaibin, exploited, murders, inhar, body, control, and fighting, corruption"
53,53,1508471022080733207,"RT @ibrahim_mashni: سيحال الموظف العام المخالف إلى #نزاهة للتحقيق معه في بعض الحالات (بدلا من التحقيق معه في داخل الجهة التي يعمل بها)
فقد…",4,0,Twitter for Android,2022-03-28 15:48:12+00:00,1434041272382148609,K1kEMEHPyhYzP8n,ألمرحوم بدر,2021-09-04 06:31:12+00:00,‏‏‏اللهم أحفظ حكومتنا الرشيده,"الرياض, المملكة العربية السعود",4,ok,0,0,1,4,Negative,سيحال الموظف العام المخالف الي نزاهه للتحقيق معه في بعض الحالات بدلا من التحقيق معه في داخل الجهه التي يعمل بها فقد,"['سيحال', 'الموظف', 'العام', 'المخالف', 'الي', 'نزاهه', 'للتحقيق', 'معه', 'في', 'بعض', 'الحالات', 'بدلا', 'من', 'التحقيق', 'معه', 'في', 'داخل', 'الجهه', 'التي', 'يعمل', 'بها', 'فقد']","سيحال, الموظف, العام, المخالف, نزاهه, للتحقيق, معه, بعض, الحالات, بدلا, التحقيق, معه, داخل, الجهه, التي, يعمل, بها, فقد",المملكة العربية,Others,-1,"Still, employee, general, violation, integrity, investigation, with, some, cases, instead, investigation, inside, side, which, working, has"
50,50,1508522657133780992,دعوة | برعاية معالي رئيس #جامعة_جدة د.عدنان الحميدان تنظم الجامعة ممثلة في إدارة المراجعة الداخلية بالتعاون مع… https://t.co/FwRzvoDc8h,7,11,Twitter for iPhone,2022-03-28 19:13:23+00:00,2976329490,UOfjeddah,جامعة جدة,2015-01-12 09:42:08+00:00,حساب تويتر الرسمي لـ #جامعة_جدة || This is the official twitter account for University of Jeddah,جدة,18,ok,0,0,1,18,Negative,دعوه برعايه معالي رئيس جامعه جده دعدنان الحميدان تنظم الجامعه ممثله في اداره المراجعه الداخليه بالتعاون مع,"['دعوه', 'برعايه', 'معالي', 'رئيس', 'جامعه', 'جده', 'دعدنان', 'الحميدان', 'تنظم', 'الجامعه', 'ممثله', 'في', 'اداره', 'المراجعه', 'الداخليه', 'بالتعاون', 'مع']","دعوه, برعايه, معالي, رئيس, جامعه, جده, دعدنان, الحميدان, تنظم, الجامعه, ممثله, اداره, المراجعه, الداخليه, بالتعاون",جدة,Others,-1,"Call him, sponsored, honey, president, university, grandmother, Adnan, Humaidan, organizing, university, representative, administration, review, internal, interior, in cooperation"
49,49,1508535418932842497,هناك الكثير من التعاملات تقع ضمن نطاق عمل #هيئة_الرقابة_ومكافحة_الفساد حتى في أبسط الأمور، بغض النظر عن من يكون؟ وم… https://t.co/GBGpedLjHz,1,0,Twitter for iPhone,2022-03-28 20:04:05+00:00,129089959,Bader_Alziad,بدر الزياد,2010-04-03 04:24:18+00:00,مراسل مجموعة قنوات24 السعودية  @Saudi24 ، عضو هيئة الصحفيين السعوديين، عضو جائزة أمير منطقة #حائل #بصمة .. مهندس، وتغريداتي هنا تمثل رأيي.. #تلبية,المملكة العربية السعودية حائل,1,ok,0,0,0,0,Neutral,هناك الكثير من التعاملات تقع ضمن نطاق عمل هيئه الرقابه ومكافحه الفساد حتي في ابسط الامور بغض النظر عن من يكون وم,"['هناك', 'الكثير', 'من', 'التعاملات', 'تقع', 'ضمن', 'نطاق', 'عمل', 'هيئه', 'الرقابه', 'ومكافحه', 'الفساد', 'حتي', 'في', 'ابسط', 'الامور', 'بغض', 'النظر', 'عن', 'من', 'يكون', 'وم']","الكثير, التعاملات, تقع, ضمن, نطاق, عمل, هيئه, الرقابه, ومكافحه, الفساد, ابسط, الامور, بغض, النظر, وم",لمملكة العربية السعودية,Corruption,0,"Lot, trading, fall, within, scope, work, body, control, fight, corruption, simpler, things, regardless, looking, m"
